Dia,coronavirus
5/12/2020,68
5/13/2020,82
5/14/2020,69
5/15/2020,66
5/16/2020,78
5/17/2020,100
5/18/2020,73
5/19/2020,55
5/20/2020,52
5/21/2020,58
5/22/2020,54
5/23/2020,54
5/24/2020,85
5/25/2020,54
5/26/2020,51
5/27/2020,52
5/28/2020,54
5/29/2020,54
5/30/2020,61
5/31/2020,47
6/1/2020,42
6/2/2020,47
6/3/2020,44
6/4/2020,42
6/5/2020,42
6/6/2020,56
6/7/2020,57
6/8/2020,41
6/9/2020,41
6/10/2020,46
6/11/2020,39
6/12/2020,40
6/13/2020,48
6/14/2020,58
6/15/2020,55
6/16/2020,51
6/17/2020,46
6/18/2020,45
6/19/2020,57
6/20/2020,67
6/21/2020,66
6/22/2020,54
6/23/2020,47
6/24/2020,45
6/25/2020,47
6/26/2020,49
6/27/2020,58
6/28/2020,56
6/29/2020,40
6/30/2020,39
7/1/2020,37
7/2/2020,42
7/3/2020,44
7/4/2020,40
7/5/2020,36
7/6/2020,37
7/7/2020,49
7/8/2020,44
7/9/2020,48
7/10/2020,43
7/11/2020,39
7/12/2020,35
7/13/2020,35
7/14/2020,45
7/15/2020,40
7/16/2020,53
7/17/2020,52
7/18/2020,64
7/19/2020,61
7/20/2020,50
7/21/2020,52
7/22/2020,71
7/23/2020,66
7/24/2020,54
7/25/2020,55
7/26/2020,61
7/27/2020,41
7/28/2020,45
7/29/2020,42
7/30/2020,46
7/31/2020,37
8/1/2020,42
8/2/2020,47
8/3/2020,35
8/4/2020,28
8/5/2020,30
8/6/2020,31
8/7/2020,31
8/8/2020,32
8/9/2020,38
